gege be ,	nv::nv cm::acc mark::comma
hacin hacin i efin efi me sarin sarila me ,	nv::nv nv::nv cm::gen nv::nv verb::vv e::cve nv::nv verb::vv e::cve mark::comma
ehe be ehe seme han de ala mbi ,	nv::adj cm::acc nv::adj comp nv::nv cm::dat verb::vv e::fve.npst mark::comma
beile se i emgi bisi re sonjo ho sain cooha ,	nv::nv nv::nv cm::gen nv::nv verb::vv e::npst.ptcp verb::vv e::pst.ptcp nv::adj nv::nv mark::comma
je ke puseli ejen be eje me gai ∅ ,	verb::vv e::pst.ptcp nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::fve.imperative mark::comma
tongki fuka sinda ha hergen i dangse .	nv::nv nv::nv verb::vv e::pst.ptcp nv::nv cm::gen nv::nv mark::period
jui be weile ara fi ,	nv::nv cm::acc nv::nv verb::vv e::cve mark::comma
tere wa ra de uyun niyalma tuci fi wa ha medege be ninggun biya i orin jakūn de donji ha ,	nv::nv verb::vv e::npst.ptcp cm::dat nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::acc nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
niowanggiyan moro ,	nv::adj nv::nv mark::comma
yahican ,	nn::prpn.person mark::comma
beiguwan obu ha .	nv::nv verb::vv e::pst.ptcp mark::period
bu he manggi ,	verb::vv e::pst.ptcp nv::nv mark::comma
juwe niyalma be saci me tuhebu he ,	nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::comma
○ sunja biya ,	mark::circle nv::nv nv::nv mark::comma
ula de emu feye baha ha seme nadan yan i weile waliya mbi ,	nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp comp nv::nv nv::nv cm::gen nv::nv verb::vv e::fve.npst mark::comma
ahūta be sinda fi ,	nv::nv cm::acc verb::vv e::cve mark::comma
darhan_hiya ,	nn::prpn mark::comma
ligiya ,	nn::prpn.plc mark::comma
( munggu be jalingga oliha seme wa ha .	mark::lparen nn::prpn.person cm::acc nv::adj nv::adj comp verb::vv e::pst.ptcp mark::period
○ kotan ,	mark::circle nn::prpn.person mark::comma
dzung_bing_guwan ci fusihūn ,	nv::nv cm::abl nv::adj mark::comma
○ orin ilan de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
tere ci jai cimari ,	nv::nv cm::abl nv::nv nv::nv mark::comma
dahi re jaka de ,	verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
bi nongku i emgi aibide latu ha ,	pn::1sg nn::prpn.person cm::gen nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
fujiyang ci fakca ha de ,	nv::nv cm::abl verb::vv e::pst.ptcp cm::dat mark::comma
omai ,	nn::prpn.person mark::comma
jeng_giyang hecen i ejen tung_iogi ,	nn::prpn nv::nv cm::gen nv::nv nn::prpn mark::comma
suwen de unggi he juwe tanggū yan menggun de ,	pn::2pl cm::dat verb::vv e::pst.ptcp nv::nv nv::nv nv::nv nv::nv cm::dat mark::comma
samsu i etuku jakūnju ninggun ,	nv::nv cm::gen nv::nv nv::nv nv::nv mark::comma
daha ha niyalma be wa ha seme ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::pst.ptcp comp mark::comma
cilbana ,	nn::prpn.person mark::comma
mao_wen_lung ni jafu bithe benji he niyalma be jafa fi benji he seme ,	nn::prpn cm::gen nv::nv nv::nv verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp comp mark::comma
○ ice ninggun de ,	mark::circle nv::adj nv::nv cm::dat mark::comma
yaki ucika ,	nv::nv nv::nv mark::comma
tuttu o ci ,	nv::nv verb::vv e::cve mark::comma
waka be beye de ali me gai ha ,	nv::adj cm::acc nv::nv cm::dat verb::vv e::cve verb::vv e::pst.ptcp mark::comma
uttu abka i mujilen de acabu me ,	nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::cve mark::comma
○ munggatu ,	mark::circle nn::prpn.person mark::comma
hondai ,	nn::prpn.person mark::comma
duhūcan ,	nn::prpn.person mark::comma
yamun i duka i siden be fulgiyan jafu akūmbu me sekte fi ,	nv::nv cm::gen nv::nv cm::gen nv::nv cm::acc nv::nv nv::nv verb::vv e::cve verb::vv e::cve mark::comma
te he boo ,	verb::vv e::pst.ptcp nv::nv mark::comma
jai sure_kundulen_han i bu he sargan jui onje_gege be ,	nv::nv nn::prpn cm::gen verb::vv e::pst.ptcp nv::nv nv::nv nn::prpn cm::acc mark::comma
niyaman hūncihin seme harša rakū ,	nv::nv nv::nv comp verb::vv e::npst.ptcp.neg mark::comma
emu inde me amba sarin sarila me ,	nv::nv verb::vv e::cve nv::adj nv::nv verb::vv e::cve mark::comma
ere aniya nadan biya de hergen nakabu ha ,	nv::nv nv::nv nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
amba dain minggan ba de senggi eye mbi .	nv::adj nv::nv nv::nv nv::nv cm::dat nv::nv verb::vv e::fve.npst mark::period
makuwalsai gu_ho i niyalma de ,	nn::prpn.plc nn::prpn cm::gen nv::nv cm::dat mark::comma
jai io_tun_wei beiguwan de ,	nv::nv nn::prpn nv::nv cm::dat mark::comma
wargi alin de emu dobori dedu ∅ ,	nv::nv nv::nv cm::dat nv::nv nv::nv verb::vv e::fve.imperative mark::comma
muse i cooha gemu bedere he manggi ,	nv::nv cm::gen nv::nv nv::nv verb::vv e::pst.ptcp nv::nv mark::comma
emu jergi buce re weile be guwebu mbi .	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::period
han i beye ,	nv::nv cm::gen nv::nv mark::comma
menggun emu minggan ilan tanggū ninju jakūn yan sunja jiha ,	nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv mark::comma
akšan ,	nv::nv mark::comma
aha ,	nv::nv mark::comma
tere fon de wa ki ,	nv::nv nv::nv cm::dat verb::vv e::fve.opt mark::comma
amasi bedere re de ,	nv::nv verb::vv e::npst.ptcp cm::dat mark::comma
ili_wei i du_jy_hūi_ciyanši guluma i jui naimida ,	nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
jui weihe nime re de tanta fi latubu ki seme bai re jaka de ,	nv::nv nv::nv verb::vv e::npst.ptcp cm::dat verb::vv e::cve verb::vv e::fve.opt comp verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
be_tu_cang de gene ∅ ,	nn::prpn cm::dat verb::vv e::fve.imperative mark::comma
morin ambula uda habi ,	nv::nv nv::nv verb::vv e::fve.prs.prf mark::comma
duin tatan i niyalma idu bodo me gese weile me ,	nv::nv nv::nv cm::gen nv::nv nv::nv verb::vv e::cve nv::nv verb::vv e::cve mark::comma
tere jeku orho de ulha tarhūbu ki se re cihangga niyalma tede gene ∅ ,	nv::nv nv::nv nv::nv cm::dat nv::nv verb::vv e::fve.opt verb::vv e::npst.ptcp nv::adj nv::nv nv::nv verb::vv e::fve.imperative mark::comma
anja gaji me guri me lioi_yang_i de ji fi te ,	nv::nv verb::vv e::cve verb::vv e::cve nn::prpn cm::dat verb::vv e::cve nv::nv mark::comma
saikan bekile me hendu rakū o fi ,	nv::adj verb::vv e::cve verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
jai cimari gere ke manggi ,	nv::nv nv::nv verb::vv e::pst.ptcp nv::nv mark::comma
sunja ba i dube de fude me gene fi ,	nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::cve verb::vv e::cve mark::comma
kadala me fafula me yabu ki ,	verb::vv e::cve verb::vv e::cve verb::vv e::fve.opt mark::comma
ihan morin eihen losa be ,	nv::nv nv::nv nv::nv nv::nv cm::acc mark::comma
saikan hendu ∅ .	nv::adj verb::vv e::fve.imperative mark::period
hoton de afa fi ete rakū bedere ci ,	nv::nv cm::dat verb::vv e::cve verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
ehe miosihon weile be harša me beide re ,	nv::adj nv::adj nv::nv cm::acc verb::vv e::cve verb::vv e::npst.ptcp mark::comma
hū_pi_i hecen i juleri juwan ba i dube i amba jugūn i šun dekde re ergi alin i ninggu de dedu he ,	nn::prpn nv::nv cm::gen nv::nv nv::nv nv::nv cm::gen nv::nv cm::gen nv::adj nv::nv cm::gen nv::nv verb::vv e::npst.ptcp nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
yehe ,	nv::nv mark::comma
emte debsiku ,	nv::nv nv::nv mark::comma
) han i sui be ,	mark::rparen nv::nv cm::gen nv::nv cm::acc mark::comma
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp nv::nv verb::vv e::pst.ptcp mark::period
ere gung be cenoi eje he de ara habi .	nv::nv nv::nv cm::acc nn::prpn.person verb::vv e::pst.ptcp cm::dat verb::vv e::fve.prs.prf mark::period
ulgiyan be ,	nv::nv cm::acc mark::comma
gese yabubu ha ,	nv::nv verb::vv e::pst.ptcp mark::comma
hai_jeo ,	nn::prpn mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
ulin ,	nv::nv mark::comma
birai_dergi niyalma birai_wargi de uka me gene fi ala me ,	nn::prpn nv::nv nn::prpn cm::dat verb::vv e::cve verb::vv e::cve verb::vv e::cve mark::comma
emhe ,	nv::nv mark::comma
suwe jakūn beile i boo i nimaha bai re niyalma be ,	pn::2pl nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv verb::vv e::npst.ptcp nv::nv cm::acc mark::comma
suwen i ere jaisai ,	pn::2pl cm::gen nv::nv nn::prpn.person mark::comma
jai gurun i dolo yabu re niyalma ,	nv::nv nv::nv cm::gen nv::nv verb::vv e::npst.ptcp nv::nv mark::comma
sin i niyalma takūra ∅ ,	pn::2sg cm::gen nv::nv verb::vv e::fve.imperative mark::comma
suje i teleri ,	nv::nv cm::gen nv::nv mark::comma
gemu lakca me waji ha ,	nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
ba be waliya fi bai me ji he gung ,	nv::nv cm::acc verb::vv e::cve verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
emu sese ,	nv::nv nv::nv mark::comma
dzung_bing_guwan ci fusihūn ,	nv::nv cm::abl nv::adj mark::comma
moobari ,	nn::prpn.person mark::comma
emu niru i emu janggin gai fi morin adula ∅ ,	nv::nv nv::nv cm::gen nv::nv nv::nv verb::vv e::cve nv::nv verb::vv e::fve.imperative mark::comma
○ juwan ilan de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
hada de emu feye baha ha seme sunja yan i weile ,	nn::prpn.plc cm::dat nv::nv nv::nv verb::vv e::pst.ptcp comp nv::nv nv::nv cm::gen nv::nv mark::comma
yasa akū sirdan de goi ci ,	nv::nv nv::adj nv::nv cm::dat verb::vv e::cve mark::comma
○ orin jakūn de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
juwan suje ,	nv::nv nv::nv mark::comma
ihan emu tanggū dehi ilan ,	nv::nv nv::nv nv::nv nv::nv nv::nv mark::comma
anafu te he bi he ,	nv::nv verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
te he boo ,	verb::vv e::pst.ptcp nv::nv mark::comma
hecen i ninggu de šanggiyan jafu sekte fi ,	nv::nv cm::gen nv::nv cm::dat nv::nv nv::nv verb::vv e::cve mark::comma
ufara ha kooli inu bi ,	verb::vv e::pst.ptcp nv::nv nv::nv verb::vv.npst mark::comma
suwen de gung kai .	pn::2pl cm::dat nv::nv ptcl mark::period
○ degelei_age ,	mark::circle nn::prpn mark::comma
weile baha fi boo yada kini ,	nv::nv verb::vv e::cve nv::nv verb::vv e::fve.opt mark::comma
tarhūn morin i tofohon niyalma be tucibu fi ,	nv::adj nv::nv cm::gen nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
mocin i sijigiyan ,	nv::nv cm::gen nv::nv mark::comma
wa ra be naka ∅ seme nakabu fi ,	verb::vv e::npst.ptcp cm::acc verb::vv e::fve.imperative comp verb::vv e::cve mark::comma
amba gurun i cooha hūlha me tuci fi emu erin hono ojo rakū amasi bedere ci ,	nv::adj nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::cve nv::nv nv::nv nv::nv verb::vv e::npst.ptcp.neg nv::nv verb::vv e::cve mark::comma
gūsin haha ,	nv::nv nv::nv mark::comma
yargiyan medege be amala unggi mbi .	nv::adj nv::nv cm::acc nv::nv verb::vv e::fve.npst mark::period
ula i niyalma dali fi gama ci ,	nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::cve mark::comma
bejang sinda ha ngge ,	nv::nv verb::vv e::pst.ptcp nmlz::nmlz mark::comma
yehe i beile se duin jalan hala me gurun de han seme banji ha doro be ,	nv::nv cm::gen nv::nv nv::nv nv::nv nv::nv verb::vv e::cve nv::nv cm::dat nv::nv comp verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
abka be den ,	nv::nv cm::acc nv::adj mark::comma
ahūn i gung ,	nv::nv cm::gen nv::nv mark::comma
hūlha holo mujilen jafa fi sula heolen o ci ,	nv::nv nv::nv nv::nv verb::vv e::cve nv::adj nv::adj verb::vv e::cve mark::comma
fu_jeo i usin i jeku de kamci fi tomso kini ,	nn::prpn cm::gen nv::nv cm::gen nv::nv cm::dat verb::vv e::cve verb::vv e::fve.opt mark::comma
jai suwen i aika jobo ro suila ra ba bi ci ,	nv::nv pn::2pl cm::gen nv::nv verb::vv e::npst.ptcp verb::vv e::npst.ptcp nv::nv verb::vv e::cve mark::comma
weile be sa me ainu ara mbi seme hendu me bithe ara fi unggi he ,	nv::nv cm::acc verb::vv e::cve nv::nv verb::vv e::fve.npst comp verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
duin ihan ,	nv::nv nv::nv mark::comma
hūda fulu bu me hūlha me gai ci ,	nv::nv nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::cve mark::comma
yaran de buce he seme ,	nn::prpn.plc cm::dat verb::vv e::pst.ptcp comp mark::comma
in i cisu i hūlha me nikan be sucu ha seme weile ara fi ,	pn::3sg cm::gen nv::nv cm::gen verb::vv e::cve nv::nv cm::acc verb::vv e::pst.ptcp comp nv::nv verb::vv e::cve mark::comma
inenggi o ci jeku tū ∅ ,	nv::nv verb::vv e::cve nv::nv verb::vv e::fve.imperative mark::comma
han i geren fujisa ,	nv::nv cm::gen nv::adj nv::nv mark::comma
nacin beiguwan be wa ra weile ara fi wa hakū uji he ,	nv::nv nv::nv cm::acc verb::vv e::npst.ptcp nv::nv verb::vv e::cve verb::vv e::pst.ptcp.neg verb::vv e::pst.ptcp mark::comma
gurgu arca me feksi re gese feksi me gene fi ,	nv::nv verb::vv e::cve verb::vv e::npst.ptcp nv::nv verb::vv e::cve verb::vv e::cve mark::comma
fujisa ,	nv::nv mark::comma
buyandai ,	nn::prpn.person mark::comma
ish'ab ,	nn::prpn.person mark::comma
hasa amasi bu ∅ seme elcin takūra ci ,	nv::nv nv::nv verb::vv e::fve.imperative comp nv::nv verb::vv e::cve mark::comma
jai juwan niyalma juwe sejen kalka ,	nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv mark::comma
liyoodung ,	nn::prpn.plc mark::comma
giyang de emu feye baha ha seme ,	nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp comp mark::comma
ahūn beile i baru hendu me ,	nv::nv nv::nv cm::gen nv::nv verb::vv e::cve mark::comma
doro be kice me dasa mbi ,	nv::nv cm::acc verb::vv e::cve verb::vv e::fve.npst mark::comma
sarin de dere de te rakū ,	nv::nv cm::dat nv::nv cm::dat verb::vv e::npst.ptcp.neg mark::comma
juwe kuwangse guile he benji he ,	nv::nv nv::nv verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
tuttu tondo i fafula rakū ehe miosihon jurgan i yabu ci ,	nv::nv nv::adj cm::gen verb::vv e::npst.ptcp.neg nv::adj nv::adj nv::nv cm::gen verb::vv e::cve mark::comma
nio_juwang ni ergi de anafu cooha be hala me gene he .	nn::prpn cm::gen nv::nv cm::dat nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::period
julergi de anafu te me gene he ba de ukanju uka kabi seme ,	nv::nv cm::dat nv::nv verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::dat nv::nv verb::vv e::fve.prs.prf comp mark::comma
angga be wa ha jalin de gisure ci ,	nv::nv cm::acc verb::vv e::pst.ptcp nv::nv cm::dat verb::vv e::cve mark::comma
○ orin emu de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
angga jaya fi ,	nv::nv verb::vv e::cve mark::comma
saikan gida me dasi ∅ seme geren de hendu ∅ ,	nv::adj verb::vv e::cve verb::vv e::fve.imperative comp nv::adj cm::dat verb::vv e::fve.imperative mark::comma
yanggiya ,	nn::prpn.person mark::comma
si gene fi beile i gala be jafa fi ebubu me gana ∅ seme hendu fi unggi he ,	pn::2sg verb::vv e::cve nv::nv cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::cve verb::vv e::fve.imperative comp verb::vv e::cve verb::vv e::pst.ptcp mark::comma
hecen de dosi ka ,	nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
monggo be ucara fi afa fi juwan morin gaibu habi ,	nv::nv cm::acc verb::vv e::cve verb::vv e::cve nv::nv nv::nv verb::vv e::fve.prs.prf mark::comma
mocin i ojin de undurakū ulhun bu he ,	nv::nv cm::gen nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
geren ci tuci fi juleri niyakūra ha manggi ,	nv::adj cm::abl verb::vv e::cve nv::nv verb::vv e::pst.ptcp nv::nv mark::comma
buya koro be ya be hendu re ,	nv::adj nv::nv cm::acc nv::nv cm::acc verb::vv e::npst.ptcp mark::comma
ajige_age_beile ninggun niyalma juleri isina fi gabta me afa ra ba de ,	nn::prpn nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
wei_ning_ing de unggi ∅ ,	nn::prpn cm::dat verb::vv e::fve.imperative mark::comma
in i cisu i amasi bedere he ,	pn::3sg cm::gen nv::nv cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
fujiyang urgūdai be ,	nv::nv nn::prpn.person cm::acc mark::comma
han i juleri morin yalu hai ji fi ,	nv::nv cm::gen nv::nv nv::nv verb::vv e::cve verb::vv e::cve mark::comma
deo i habša ha gisun be ,	nv::nv cm::gen verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
manggūldai i sargan de emu gecuheri ,	nn::prpn.person cm::gen nv::nv cm::dat nv::nv nv::nv mark::comma
taifin doro be buye rakū ehe doro be gūni ci ,	nv::adj nv::nv cm::acc verb::vv e::npst.ptcp.neg nv::adj nv::nv cm::acc verb::vv e::cve mark::comma
sin i jaka de gaji fi tebu ∅ se he bi he ,	pn::2sg cm::gen nv::nv cm::dat verb::vv e::cve verb::vv e::fve.imperative verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
men i aisin gurun i dube i jalan i han ,	pn::1pl.excl cm::gen nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv cm::gen nv::nv mark::comma
emu janggin usin bošo me weilebu ∅ .	nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::fve.imperative mark::period
sejen kalka dagila fi ,	nv::nv nv::nv verb::vv e::cve mark::comma
ehe sain be dere bani rakū ,	nv::adj nv::adj cm::acc nv::nv verb::vv e::npst.ptcp.neg mark::comma
toktoi jase de ji fi ,	nn::prpn.person nv::nv cm::dat verb::vv e::cve mark::comma
emu doron bu fi unggi he .	nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::period
dajuhū bi ,	nn::prpn.person verb::vv.npst mark::comma
beiguwan ,	nv::nv mark::comma
beiguwan de juwete bu he ,	nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
cooha be sabubu rakū nuhaliyan dalda ba de somi fi ,	nv::nv cm::acc verb::vv e::npst.ptcp.neg nv::adj nv::nv nv::nv cm::dat verb::vv e::cve mark::comma
○ mafuta be ,	mark::circle nv::nv cm::acc mark::comma
meni meni amban sa kai ,	nv::nv nv::nv nv::nv nv::nv ptcl mark::comma
min i elcin be jing toso fi wa ci ,	pn::1sg cm::gen nv::nv cm::acc nv::nv verb::vv e::cve verb::vv e::cve mark::comma
dobori inenggi akū hūdun bošo me kiyoo cabu ∅ ,	nv::nv nv::nv nv::adj nv::adj verb::vv e::cve nv::nv verb::vv e::fve.imperative mark::comma
○ orin ilan de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
ahūtu fonji fi ,	nn::prpn.person verb::vv e::cve mark::comma
○ tainca ,	mark::circle nn::prpn.person mark::comma
giya_šan de emu ciyandzung ,	nn::prpn cm::dat nv::nv nv::nv mark::comma
sin i anggala ,	pn::2sg cm::gen nv::nv mark::comma
tere cooha de baha ha jakūn minggan olji be ,	nv::nv nv::nv cm::dat verb::vv e::pst.ptcp nv::nv nv::nv nv::nv cm::acc mark::comma
haisangga ,	nn::prpn.person mark::comma
jai emu beile i juwe boo ,	nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv mark::comma
tanggūt gurun i niyalma ,	nv::nv nv::nv cm::gen nv::nv mark::comma
abatai_age ,	nn::prpn mark::comma
kalka i nangnuk_beile i juwan ninggun niyalma yafahan uka me ji he .	nv::nv cm::gen nn::prpn cm::gen nv::nv nv::nv nv::nv nv::adj verb::vv e::cve verb::vv e::pst.ptcp mark::period
○ kubu he fulgiyan de ,	mark::circle verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
uttu ehe kecun gisun be si ainu gisure mbi ,	nv::nv nv::adj nv::nv nv::nv cm::acc pn::2sg nv::nv verb::vv e::fve.npst mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
emu ciyandzung de duin niyalma ,	nv::nv nv::nv cm::dat nv::nv nv::nv mark::comma
ejen de ala fi tere gurgu i yali be amca fi wa ha niyalma gulhun gai ∅ seme šajila ha .	nv::nv cm::dat verb::vv e::cve nv::nv nv::nv cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp nv::nv nv::adj verb::vv e::fve.imperative comp verb::vv e::pst.ptcp mark::period
juwan duin de gene he .	nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::period
ere ci julesi hūlha holo koimali jalingga akū ,	nv::nv cm::abl nv::nv nv::nv nv::nv nv::adj nv::adj nv::adj mark::comma
menggun duin yan baha ha ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
jakūmu ,	nn::prpn.plc mark::comma
sibe ci gaji me ji he niyalma be ,	nv::nv cm::abl verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
jodofu ,	nn::prpn.person mark::comma
hoošan herge re ,	nv::nv verb::vv e::npst.ptcp mark::comma
nikan be daila ki seme beile se amban sa i emgi hebde me waji fi ,	nv::nv cm::acc verb::vv e::fve.opt comp nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::cve mark::comma
g'ai_jeo i iogi jang_ioi_wei benji he ngge ,	nn::prpn cm::gen nv::nv nn::prpn verb::vv e::pst.ptcp nmlz::nmlz mark::comma
angkūn ,	nn::prpn.person mark::comma
jai suwen i emgi gene he emu tanggū uksin be ,	nv::nv pn::2pl cm::gen nv::nv verb::vv e::pst.ptcp nv::nv nv::nv nv::nv cm::acc mark::comma
nikan ,	nv::nv mark::comma
waji rakū ci julergi hecen de inu tebu ∅ ,	verb::vv e::npst.ptcp.neg e::cve nv::nv nv::nv cm::dat nv::nv verb::vv e::fve.imperative mark::comma
solho ,	nv::nv mark::comma
gisure re gisun gemu tondo uru be gisure mbi ,	verb::vv e::npst.ptcp nv::nv nv::nv nv::adj nv::nv cm::acc verb::vv e::fve.npst mark::comma
hai_si ku_ling_wei i du_jy_hūi_ši cangtai i omolo hūsiba ,	nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
han i cooha ice sunja de sahaliyan_ula be doo me ,	nv::nv cm::gen nv::nv nv::adj nv::nv cm::dat nn::prpn cm::acc verb::vv e::cve mark::comma
tutala morin macu me untuhuri yabu ha kai seme wakala fi ,	nv::nv nv::nv verb::vv e::cve nv::nv verb::vv e::pst.ptcp ptcl comp verb::vv e::cve mark::comma
